,r,rho,vp,vs,vphi,K,G
0,0.0,8961.63530444452,6721.227905830447,0.0,0.0,285465387014.88464,88623452260.15584
1,7338.7122982969,8959.963905792938,6719.595963197565,0.0,0.0,285304811359.12756,88590404311.9739
2,14677.4245965938,8958.29250714136,6717.964020564682,0.0,0.0,285144235703.3704,88557356363.79198
3,22016.1368948907,8956.621108489777,6716.3320779318,0.0,0.0,284983660047.61334,88524308415.61005
4,29354.8491931876,8954.949709838196,6714.700135298916,0.0,0.0,284823084391.8562,88491260467.4281
5,36693.5614914845,8953.278311186616,6713.0681926660345,0.0,0.0,284662508736.0991,88458212519.24615
6,44032.2737897814,8951.606912535035,6711.436250033153,0.0,0.0,284501933080.342,88425164571.06422
7,51370.9860880783,8949.935513883454,6709.80430740027,0.0,0.0,284341357424.5849,88392116622.8823
8,58709.6983863752,8948.264115231872,6708.172364767387,0.0,0.0,284180781768.82776,88359068674.70036
9,66048.4106846721,8946.59271658029,6706.540422134505,0.0,0.0,284020206113.0707,88326020726.51843
10,73387.122982969,8944.92131792871,6704.908479501622,0.0,0.0,283859630457.31354,88292972778.3365
11,80725.8352812659,8943.249919277128,6703.276536868741,0.0,0.0,283699054801.5564,88259924830.15457
12,88064.5475795628,8941.578520625548,6701.644594235857,0.0,0.0,283538479145.7993,88226876881.97263
13,95403.2598778597,8939.907121973967,6700.012651602976,0.0,0.0,283377903490.04224,88193828933.7907
14,102741.9721761566,8938.235723322385,6698.380708970093,0.0,0.0,283217327834.2851,88160780985.60876
15,110080.6844744535,8936.564324670804,6696.74876633721,0.0,0.0,283056752178.52795,88127733037.42683
16,117419.3967727504,8934.892926019222,6695.1168237043275,0.0,0.0,282896176522.7709,88094685089.24489
17,124758.1090710473,8933.221527367641,6693.484881071445,0.0,0.0,282735600867.0138,88061637141.06296
18,132096.8213693442,8931.550128716062,6691.852938438563,0.0,0.0,282575025211.25665,88028589192.88104
19,139435.5336676411,8929.87873006448,6690.22099580568,0.0,0.0,282414449555.4996,87995541244.6991
20,146774.245965938,8928.207331412897,6688.589053172798,0.0,0.0,282253873899.74243,87962493296.51715
21,154112.9582642349,8926.535932761319,6686.957110539915,0.0,0.0,282093298243.98535,87929445348.33522
22,161451.6705625318,8924.864534109736,6685.325167907033,0.0,0.0,281932722588.2282,87896397400.15329
23,168790.38286082871,8923.193135458154,6683.693225274151,0.0,0.0,281753506349.7319,87859605869.48338
24,176129.0951591256,8921.521736806575,6682.061282641269,0.0,0.0,281564304047.30804,87820808840.67181
25,183467.80745742252,8919.850338154993,6680.429340008386,0.0,0.0,281375101744.8843,87782011811.86029
26,190806.5197557194,8918.178939503412,6678.797397375503,0.0,0.0,281185899442.46045,87743214783.04874
27,198145.23205401632,8916.507540851831,6677.165454742621,0.0,0.0,280996697140.0367,87704417754.2372
28,205483.9443523132,8914.836142200249,6675.533512109739,0.0,0.0,280807494837.6129,87665620725.42564
29,212822.65665061012,8913.16474354867,6673.901569476857,0.0,0.0,280608387866.50793,87624846109.09523
30,220161.368948907,8911.493344897088,6672.269626843974,0.0,0.0,280407354443.8516,87583686853.29163
31,227500.08124720393,8909.821946245507,6670.637684211091,0.0,0.0,280206321021.1954,87542527597.48804
32,234838.7935455008,8908.150547593927,6669.005741578209,0.0,0.0,280005287598.53906,87501368341.68443
33,242177.5058437977,8906.479148942344,6667.373798945326,0.0,0.0,279797256492.25525,87458816438.88129
34,249516.2181420946,8904.807750290764,6665.741856312445,0.0,0.0,279586969626.2248,87415815605.08752
35,256854.9304403915,8903.136351639183,6664.109913679562,0.0,0.0,279376682760.1943,87372814771.29376
36,264193.6427386884,8901.4649529876,6662.477971046679,0.0,0.0,279162421225.9112,87329025118.30983
37,271532.3550369853,8899.79355433602,6660.846028413797,0.0,0.0,278944273557.9956,87284464216.86188
38,278871.0673352822,8898.12215568444,6659.214085780914,0.0,0.0,278726125890.07996,87239903315.41393
39,286209.77963357914,8896.450757032859,6657.582143148033,0.0,0.0,278502701537.9434,87194297828.65088
40,293548.491931876,8894.779358381278,6655.95020051515,0.0,0.0,278277604957.72296,87148361303.52605
41,300887.2042301729,8893.107959729696,6654.318257882267,0.0,0.0,278050257227.9171,87101980173.07687
