,r,rho,vp,vs,K,G
0,0.0,9192.379626512278,7143.560026765603,3658.143235294262,305074555819.515,123012533826.42517
1,258086.8301154623,9187.069033631138,7138.216344739824,3656.3845440543205,304354753613.55176,122823284990.47888
2,325227.43689877057,9175.160130835642,7126.232808959931,3652.439946419227,302744537568.5857,122399549829.37375
3,372358.2892661552,9164.324240234952,7115.32847689025,3648.8498502516786,301284115374.61865,122014777293.41093
4,409904.62742733187,9154.255492226817,7105.195662494532,3645.5131476739693,299931100337.2924,121657914401.63025
5,441631.9827761831,9144.766854497373,7095.646222253163,3642.368014300465,298659571469.6462,121322202148.18597
6,469383.1091340195,9135.738707101958,7086.559827244559,3639.374914171518,297452926851.7913,121003313823.833
7,494214.0662964218,9127.089177759897,7077.854121218199,3636.5067911764063,296299785640.82056,120698285151.913
8,516793.0686565656,9118.759168538574,7069.469657770936,3633.7441180805786,295191920008.6364,120404974340.92084
9,537572.8852555142,9110.704243839802,7061.361739888778,3631.072214382786,294123134156.4907,120121769464.92233
10,556876.1466164223,9102.889909074347,7053.495670466129,3628.4796853580406,293088611420.6377,119847418078.4448
11,574941.8140912985,9095.288693920142,7045.843818197214,3625.9574577919207,292084510618.61615,119580921905.39252
12,591952.3898780154,9087.878260743697,7038.383714752587,3623.498154672227,291107704065.49365,119321468508.73932
13,608050.7758134219,9080.640127467283,7031.096770066034,3621.0956730285516,290155600555.67175,119068385133.96541
14,623351.2047864372,9073.558776053065,7023.967375559444,3618.744889263985,289226021703.3724,118821106474.22987
15,637946.5991135009,9066.62101255208,7016.982260359324,3616.4414476323705,288317113104.097,118579151519.5283
16,651913.681800401,9059.815496428744,7010.1300178414285,3614.181604684909,287427278951.8152,118342106522.48485
17,665316.6230483522,9053.13238699499,7003.400750002958,3611.962112433186,286555132893.1819,118109612197.3839
18,678209.7022368073,9046.563073124216,6996.785795582693,3609.780129032499,285699460429.27985,117881353929.72758
19,690639.290883554,9040.099963108907,6990.277518680923,3607.6331493435823,284859189665.3104,117657054161.34978
20,702645.3558439964,9033.736319051517,6983.869142176119,3605.5189502127196,284033368244.0579,117436466386.8326
21,714262.616736004,9027.466124694995,6977.554614778977,3603.43554680329,283221144925.2152,117219370360.24866
22,725521.4497305176,9021.283978738684,6971.328503722253,3601.3811573495227,282421754707.33,117005568224.63463
23,736448.6021791234,9015.185074312196,6965.185970515044,3599.354195577,281634514877.9234,116794883588.94427
24,747067.7641888035,9009.165273248456,6959.122837604594,3597.3532934838604,280858832868.32587,116587163812.67915
25,757400.030104887,9003.218662990048,6953.13326125121,3595.3765229260043,280093905193.4968,116382197869.43755
26,767464.2750564544,8997.344488451345,6947.216322421811,3593.423601566292,279339568135.2116,116179948816.77841
27,777277.4646512762,8991.53794030482,6941.367262304219,3591.4929601528233,278595165306.1304,115980244546.36803
28,786854.9117053519,8985.79593108596,6935.582974631959,3589.583580667463,277860256840.25055,115782971548.95801
29,796210.490600897,8980.115611574241,6929.8605927816025,3587.694523736901,277134436477.56744,115588025021.34184
30,805356.8174936356,8974.494344680626,6924.197463504183,3585.8249200076366,276417327907.3807,115395307916.53752
31,814305.4028381526,8968.929682929995,6918.591124273135,3583.9739627087542,275708581613.35046,115204730124.46364
32,823066.7810816249,8963.41912394512,6913.039069714601,3582.140829497203,275007844861.322,115016200269.55632
33,831650.6216350507,8957.961221406262,6907.539807019663,3580.3250363360717,274314896056.65295,114829662650.74905
34,840065.8242184181,8952.553299075302,6902.090681527579,3578.5257087595483,273629367338.87018,114645021077.24872
35,848320.5942518394,8947.193726975918,6896.690040544824,3576.7423072266065,272951020291.9273,114462214623.30307
36,856422.5126276307,8941.88075720045,6891.336125821382,3574.9742559657097,272279604597.1661,114281178827.81473
37,864378.6062566274,8936.612750378472,6886.027288076528,3573.2210149755847,271614885261.10944,114101853198.48688
38,872195.398046829,8931.38816591044,6880.761977356993,3571.4820768443624,270956641267.28418,113924180859.59186
39,879878.9562520749,8926.205552969774,6875.538733985733,3569.756963777147,270304664321.12592,113748108225.53163
40,887434.936815955,8921.06354327299,6870.356181290727,3568.04522520973,269658757830.5183,113573584736.69878
41,894868.6209301568,8915.960844517771,6865.213019005389,3566.3464356426257,269018735981.27463,113400562619.86937
42,902184.9483459556,8910.89623448406,6860.10801733583,3564.6601926940325,268384422905.67297,113228996672.74701
43,909388.5470101177,8905.86855571601,6855.040011612372,3562.986115344589,267755651932.56976,113058844069.67479
44,916483.7595015886,8900.876710718554,6850.0078974586495,3561.3238423520543,267132264909.77136,112890064186.09808
45,923474.6666806705,8895.919657335631,6845.010626142316,3559.6730307250614,266514111556.20108,112722618430.37198
46,930365.1089033333,8890.9964052614,6840.047201060537,3558.0333545715166,265901048961.16144,112556470114.83878
47,937158.7050932152,8886.106012508251,6835.116674202723,3556.40450393672,265292941085.7681,112391584326.67372
48,943858.8699315274,8881.247581843716,6830.218142562411,3554.7861836257453,264689658263.82916,112227927798.28345
49,950468.8293844819,8876.420257812593,6825.350745138621,3553.1781122199204,264091076780.33984,112065468798.25684
50,956991.6347599982,8871.623224006056,6820.513660189517,3551.5800211757664,263497078485.25073,111904177031.40738
51,963430.175459133,8866.855700558253,6815.706102714795,3549.9916539990027,262907550439.2677,111744023547.11873
52,969787.1905629027,8862.1169418501,6810.9273221465555,3548.412765486987,262322384588.80414,111584980655.24976
53,976065.2793817576,8857.40623439908,6806.1766002271415,3546.8431210325125,261741477467.10522,111427021848.82486
54,982266.9111052987,8852.722894896793,6801.453249035597,3545.2824959763475,261164729916.53885,111270121732.17934
55,988394.4335961343,8848.06486628965,6796.755277261182,3543.7302267643104,260591882820.42114,111114210237.31168
56,994450.0814480657,8843.434326398903,6792.084718016445,3542.1870039330447,260023173373.32043,110959355532.35135
57,1000435.9833765193,8838.829268960175,6787.439631063153,3540.6521807350437,259458349510.54034,110805489386.72687
58,1006354.1690065868,8834.249114435277,6782.819432825202,3539.1255667230694,258897326918.47314,110652590230.69174
59,1012206.5751172603,8829.693305767867,6778.223562327328,3537.606978860395,258340024501.1275,110500637323.66489
60,1017995.0513938562,8825.161185489562,6773.65136439006,3536.0962021938685,257786350073.62744,110349606758.624
61,1023721.3657348722,8820.6522663687,6769.102346662591,3534.5930764126792,257236231824.73254,110199480254.44525
62,1029387.209154493,8816.166124210173,6764.576077720477,3533.097461563824,256689605749.13287,110050241655.9451
63,1034994.2003175404,8811.702279223395,6760.072074325515,3531.609200085851,256146401863.9641,109901873081.27081
64,1040543.8897397949,8807.260268704733,6755.589870416683,3530.128140048595,255606552639.23633,109754357279.99417
65,1046037.7636831935,8802.839646177368,6751.12901623981,3528.65413486833,255069992874.8807,109607677601.42847
66,1051477.2477724007,8798.439980588246,6746.689077534115,3527.1870430416543,254536659585.79236,109461817965.0245
67,1056863.7102182691,8794.060855610634,6742.269634864907,3525.7267279233406,254006491904.68524,109316762834.99728
68,1062198.4645003406,8789.701869325205,6737.8702832831805,3524.2730576178565,253479431026.1054,109172497206.8627
69,1067482.7728208357,8785.362633122279,6733.490631218131,3522.8259046153303,252955420058.92792,109029006568.59132
70,1072717.8489267658,8781.042770990947,6729.130299762057,3521.385145556857,252434403926.9593,108886276874.78947
71,1077904.8605792606,8776.741918989344,6724.788922137945,3519.9506610600756,251916329292.22595,108744294527.00948
72,1083044.9317858096,8772.459724799488,6720.466143252333,3518.5223355728394,251401144489.13007,108603046356.96739
73,1088139.1450063263,8768.195847128063,6716.161619092495,3517.10005717537,250888799440.70593,108462519604.7869
74,1093188.5433100746,8763.949955224181,6711.875016241625,3515.6837174213288,250379245589.63907,108322701901.2203
75,1098194.13231324,8759.721728584342,6707.606011582859,3514.2732112412154,249872435852.3153,108183581256.12996
76,1103156.8820028175,8755.510856405228,6703.354291724105,3512.8684367562105,249368324540.6917,108045146038.42603
77,1108077.7284509335,8751.317037168412,6699.119552581084,3511.4692951414704,248866867303.08322,107907384960.79001
78,1112957.5754327949,8747.139978096533,6694.901498922219,3510.0756904664117,248368021059.23746,107770287061.49493
79,1117797.2959374757,8742.979394895812,6690.6998440422385,3508.687529595351,247871743954.2074,107633841693.5609
80,1122597.733600575,8738.835011405068,6686.5143094062205,3507.3047220711615,247377995307.91675,107498038511.7879
81,1127359.7040464552,8734.706559264814,6682.344624317016,3505.9271800062534,246886735567.85748,107362867460.56271
82,1132083.9961521153,8730.593777604336,6678.190525600703,3504.5548179794696,246397926264.32367,107228318762.32196
83,1136771.3732444814,8726.496412740613,6674.051757303987,3503.1875529368926,245911529967.43356,107094382906.46904
84,1141422.574228701,8722.41421789411,6669.928070408499,3501.825304098192,245427510246.50867,106961050638.90239
85,1146038.3146557037,8718.346952917193,6665.819222557803,3500.4679928671485,244945831631.28967,106828312952.01567
86,1150619.28772943,8714.294384037836,6661.724977799794,3499.1155427472104,244466459575.28458,106696161075.25145
87,1155166.1652576018,8710.2562836187,6657.645106343734,3497.7678792619713,243989360421.15686,106564586466.19815
88,1159679.598554751,8706.232429983258,6653.579384348761,3496.4249298903096,243514501370.73257,106433580803.45197
