# Model of mercury with growing inner core:
# M_core/M= 0.63, wS= 0.05, wSi= 0.05
# mfrac,rfrac,r_slb,r_rib,r_surf,P_slb,T_center,T_slb,T_rib,T_surf,Ti_avg,Tc_avg,Tm_avg,E_g,w_S,w_Si,rho_diff,C_MR2,Cm_C,at_eutectic
0.000000000000000000e+00,1.460463197730868407e-07,2.735223359043744140e-01,1.872846480002699886e+06,2.497063375029510353e+06,3.713296816633325195e+10,2.257426720642875807e+03,2.257426720642875807e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.257426720642875807e+03,1.931338832357967249e+03,1.025213213353190895e+03,0.000000000000000000e+00,5.000000000000000278e-02,5.000000000000000278e-02,2.960566538288931042e+02,3.328530285466210215e-01,5.847223204908073013e-01,0.000000000000000000e+00
2.500000000000000139e-02,2.788256416515096370e-01,5.224427893853907008e+05,1.873725767439875985e+06,2.497572281932810787e+06,3.518274580530859375e+10,2.264506675490588805e+03,2.229957284419238931e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.243397287702865469e+03,1.924981928940984972e+03,1.025192954712958681e+03,0.000000000000000000e+00,5.128205128205128027e-02,4.999999999999997502e-02,3.253484984423030255e+02,3.328492963511163749e-01,5.848334590749599826e-01,0.000000000000000000e+00
5.000000000000000278e-02,3.514130160206875297e-01,6.587565101046230411e+05,1.874593370399923762e+06,2.498074858613136224e+06,3.362951843125040436e+10,2.268302194528865130e+03,2.212155817793390270e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.233904536893154727e+03,1.921571298072031368e+03,1.025171509434000654e+03,0.000000000000000000e+00,5.263157894736841119e-02,4.999999999999998890e-02,3.529789451891883800e+02,3.328160693057899411e-01,5.849942588255863107e-01,0.000000000000000000e+00
7.500000000000001110e-02,4.024426025600231771e-01,7.547399191426130710e+05,1.875397669982132968e+06,2.498538995930919889e+06,3.230758683793933868e+10,2.270345350695727575e+03,2.196043352352295642e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.225125692150562827e+03,1.917217373076414333e+03,1.025151041804262832e+03,0.000000000000000000e+00,5.405405405405405705e-02,5.000000000000000278e-02,3.798174275950223091e+02,3.327691297028951278e-01,5.851689000542907859e-01,0.000000000000000000e+00
1.000000000000000056e-01,4.431352152236079367e-01,8.313915570378918201e+05,1.876157724495824659e+06,2.498980051962042227e+06,3.111587662066965103e+10,2.271456748753757893e+03,2.180818431664331911e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.216685868819305142e+03,1.912378609965630631e+03,1.025131057007130948e+03,0.000000000000000000e+00,5.555555555555555941e-02,4.999999999999999584e-02,4.066737119302142673e+02,3.327121217696019095e-01,5.853583163227481512e-01,0.000000000000000000e+00
1.250000000000000000e-01,4.775482571310826208e-01,8.963006126192520605e+05,1.876879664484307403e+06,2.499401089418993331e+06,3.001333378629255676e+10,2.271929805580081847e+03,2.166140181830678557e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.208422622191260416e+03,1.907211269102775987e+03,1.025111476773153527e+03,0.000000000000000000e+00,5.714285714285714107e-02,4.999999999999998890e-02,4.339037182467372986e+02,3.326454661182352557e-01,5.855619421542098690e-01,0.000000000000000000e+00
1.500000000000000222e-01,5.076771934999552149e-01,9.531954903150812024e+05,1.877562164539434249e+06,2.499796964014178142e+06,2.897809827780912399e+10,2.271652965111330104e+03,2.151577763117930317e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.199991220926351616e+03,1.901575913077163477e+03,1.025092557539961717e+03,0.000000000000000000e+00,5.882352941176471200e-02,4.999999999999999584e-02,4.617183853240039753e+02,3.325688629255724171e-01,5.857755225464732485e-01,0.000000000000000000e+00
1.750000000000000167e-01,5.346568233857419417e-01,1.004197400700097787e+06,1.878209267658768455e+06,2.500174784516738728e+06,2.799709088402416611e+10,2.270874521875382925e+03,2.137182781261864875e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.191501394604722009e+03,1.895650470126936398e+03,1.025074142502845234e+03,0.000000000000000000e+00,6.060606060606061468e-02,5.000000000000000278e-02,4.902893250881506901e+02,3.324835947137455561e-01,5.860024923862899859e-01,0.000000000000000000e+00
2.000000000000000111e-01,5.592679995651775871e-01,1.050815657011074247e+06,1.878912538940306986e+06,2.500583730630466249e+06,2.716975974790602493e+10,2.267870146392855531e+03,2.122830303744888624e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.182107385651148888e+03,1.888537992557766529e+03,1.025054398162498046e+03,0.000000000000000000e+00,6.250000000000001388e-02,5.000000000000000278e-02,5.184518459890350641e+02,3.324153916412199705e-01,5.862043406964368986e-01,0.000000000000000000e+00
2.250000000000000056e-01,5.818611840941796398e-01,1.093611011212995043e+06,1.879505011002734303e+06,2.500929284115335438e+06,2.626822980542278290e+10,2.266289542515355606e+03,2.108589463004578647e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.173429838315444613e+03,1.882130529973255079e+03,1.025036948004233409e+03,0.000000000000000000e+00,6.451612903225806273e-02,4.999999999999999584e-02,5.489554948746972514e+02,3.323143459112795073e-01,5.864516485717471417e-01,0.000000000000000000e+00
